,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Albania,Pine,1990,36613,1485,121,16.37
1,Albania,Plywood,1990,66667,1485,121,16.37
2,Albania,Birch,1990,23333,1485,121,16.37
3,Albania,Mangrove,1990,12500,1485,121,16.37
4,Albania,Bamboo,1990,7000,1485,121,16.37
5,Albania,Lime,1990,30197,1485,121,16.37
6,Albania,Pine,1991,29068,1485,121,15.36
7,Albania,Plywood,1991,77818,1485,121,15.36
8,Albania,Birch,1991,28538,1485,121,15.36
9,Albania,Mangrove,1991,6667,1485,121,15.36
10,Albania,Bamboo,1991,6066,1485,121,15.36
11,Albania,Lime,1991,20698,1485,121,15.36
12,Albania,Pine,1992,24876,1485,121,16.06
13,Albania,Plywood,1992,82920,1485,121,16.06
14,Albania,Birch,1992,40000,1485,121,16.06
15,Albania,Mangrove,1992,3747,1485,121,16.06
16,Albania,Bamboo,1992,4507,1485,121,16.06
17,Albania,Lime,1992,24388,1485,121,16.06
18,Albania,Pine,1993,24185,1485,121,16.05
19,Albania,Plywood,1993,98446,1485,121,16.05
20,Albania,Birch,1993,41786,1485,121,16.05
21,Albania,Bamboo,1993,7998,1485,121,16.05
22,Albania,Lime,1993,29976,1485,121,16.05
23,Albania,Pine,1994,25848,1485,201,16.96
24,Albania,Plywood,1994,81404,1485,201,16.96
25,Albania,Bamboo,1994,7927,1485,201,16.96
26,Albania,Lime,1994,24745,1485,201,16.96
27,Albania,Pine,1995,31300,1485,251,15.67
28,Albania,Plywood,1995,111323,1485,251,15.67
29,Albania,Bamboo,1995,11791,1485,251,15.67
30,Albania,Lime,1995,28703,1485,251,15.67
31,Albania,Pine,1996,32604,1485,313.96,15.64
32,Albania,Plywood,1996,106138,1485,313.96,15.64
33,Albania,Bamboo,1996,15480,1485,313.96,15.64
34,Albania,Lime,1996,21741,1485,313.96,15.64
35,Albania,Pine,1997,31862,1485,376.93,15.9
36,Albania,Plywood,1997,109874,1485,376.93,15.9
37,Albania,Bamboo,1997,12768,1485,376.93,15.9
38,Albania,Lime,1997,28516,1485,376.93,15.9
39,Albania,Pine,1998,33416,1485,439.89,16.27
40,Albania,Plywood,1998,127212,1485,439.89,16.27
41,Albania,Bamboo,1998,14327,1485,439.89,16.27
42,Albania,Lime,1998,28037,1485,439.89,16.27
43,Albania,Pine,1999,37455,1485,502.86,16.57
44,Albania,Plywood,1999,142018,1485,502.86,16.57
45,Albania,Bamboo,1999,17143,1485,502.86,16.57
46,Albania,Lime,1999,24954,1485,502.86,16.57
47,Albania,Pine,2000,38811,1485,565.82,16.67
48,Albania,Plywood,2000,141228,1485,565.82,16.67
49,Albania,Bamboo,2000,15000,1485,565.82,16.67
50,Albania,Lime,2000,30455,1485,565.82,16.67
51,Albania,Pine,2001,38135,1485,628.79,16.59
52,Albania,Plywood,2001,148818,1485,628.79,16.59
53,Albania,Bamboo,2001,20000,1485,628.79,16.59
54,Albania,Lime,2001,28220,1485,628.79,16.59
55,Albania,Pine,2002,39460,1485,691.75,16.47
56,Albania,Plywood,2002,153868,1485,691.75,16.47
57,Albania,Bamboo,2002,20000,1485,691.75,16.47
58,Albania,Lime,2002,31617,1485,691.75,16.47
59,Albania,Pine,2004,46197,1485,817.68,16.16
60,Albania,Plywood,2004,149346,1485,817.68,16.16
61,Albania,Bamboo,2004,13333,1485,817.68,16.16
62,Albania,Lime,2004,31130,1485,817.68,16.16
63,Albania,Pine,2005,45442,1485,880.64,15.67
64,Albania,Plywood,2005,167061,1485,880.64,15.67
65,Albania,Bamboo,2005,17500,1485,880.64,15.67
66,Albania,Lime,2005,31582,1485,880.64,15.67
67,Albania,Pine,2006,50111,1485,943.61,15.92
68,Albania,Plywood,2006,170745,1485,943.61,15.92
69,Albania,Bamboo,2006,20000,1485,943.61,15.92
70,Albania,Lime,2006,30787,1485,943.61,15.92
71,Albania,Pine,2007,46732,1485,1006.57,16.67
72,Albania,Plywood,2007,188902,1485,1006.57,16.67
73,Albania,Bamboo,2007,20000,1485,1006.57,16.67
74,Albania,Lime,2007,35496,1485,1006.57,16.67
75,Albania,Pine,2008,50000,1485,1069.54,16.71
76,Albania,Plywood,2008,193878,1485,1069.54,16.71
77,Albania,Bamboo,2008,20000,1485,1069.54,16.71
78,Albania,Lime,2008,40168,1485,1069.54,16.71
79,Albania,Pine,2009,55693,1485,1132.5,16.73
80,Albania,Plywood,2009,219780,1485,1132.5,16.73
81,Albania,Bamboo,2009,16667,1485,1132.5,16.73
82,Albania,Lime,2009,40229,1485,1132.5,16.73
83,Albania,Pine,2010,66790,1485,1311.17,16.52
84,Albania,Plywood,2010,231111,1485,1311.17,16.52
85,Albania,Bamboo,2010,16667,1485,1311.17,16.52
86,Albania,Lime,2010,39905,1485,1311.17,16.52
87,Albania,Pine,2011,59869,1485,1302.63,16.45
88,Albania,Plywood,2011,242211,1485,1302.63,16.45
89,Albania,Bamboo,2011,18519,1485,1302.63,16.45
90,Albania,Lime,2011,42301,1485,1302.63,16.45
91,Albania,Pine,2012,67290,1485,766.25,16.7
92,Albania,Plywood,2012,250538,1485,766.25,16.7
93,Albania,Bamboo,2012,13333,1485,766.25,16.7
94,Albania,Lime,2012,41096,1485,766.25,16.7
95,Albania,Pine,2013,69533,1485,982.32,17.41
96,Albania,Plywood,2013,260110,1485,982.32,17.41
97,Albania,Bamboo,2013,10000,1485,982.32,17.41
98,Albania,Lime,2013,41292,1485,982.32,17.41
99,Algeria,Pine,1990,16500,89,1828.92,17.48
100,Algeria,Plywood,1990,78936,89,1828.92,17.48
101,Algeria,Birch,1990,28000,89,1828.92,17.48
102,Algeria,Mangrove,1990,16571,89,1828.92,17.48
103,Algeria,Lime,1990,6315,89,1828.92,17.48
104,Algeria,Pine,1991,19231,89,2461.8,16.26
105,Algeria,Plywood,1991,90747,89,2461.8,16.26
106,Algeria,Birch,1991,26786,89,2461.8,16.26
107,Algeria,Mangrove,1991,24231,89,2461.8,16.26
108,Algeria,Lime,1991,10809,89,2461.8,16.26
109,Algeria,Pine,1992,22828,89,1215.47,16.27
110,Algeria,Plywood,1992,107917,89,1215.47,16.27
111,Algeria,Birch,1992,24733,89,1215.47,16.27
